experiment_id,timestamp,batch_size,homogeneity,iteration,test_accuracy,full_repair_accuracy,batch_repair_time,error_message
stoch_bs5_class_homogeneous_correct_cls5,2025-06-05 22:35:56,5,class_homogeneous_correct,20,0.4407,0.989,6.280925035476685,
stoch_bs5_class_homogeneous_correct_cls5,2025-06-05 22:36:24,5,class_homogeneous_correct,21,0.3887,0.996,11.409713983535767,
stoch_bs5_class_homogeneous_correct_cls5,2025-06-05 22:36:42,5,class_homogeneous_correct,22,0.3887,0.996,7.484308481216431,
stoch_bs5_class_homogeneous_correct_cls5,2025-06-05 22:37:01,5,class_homogeneous_correct,23,0.3887,0.996,7.707592487335205,
stoch_bs5_class_homogeneous_correct_cls5,2025-06-05 22:37:21,5,class_homogeneous_correct,24,0.3887,0.996,7.843923330307007,
stoch_bs5_class_homogeneous_correct_cls6,2025-06-05 22:38:01,5,class_homogeneous_correct,1,0.6647,0.92,8.46161437034607,
stoch_bs5_class_homogeneous_correct_cls6,2025-06-05 22:38:20,5,class_homogeneous_correct,2,0.6314,0.946,7.492807388305664,
stoch_bs5_class_homogeneous_correct_cls6,2025-06-05 22:38:38,5,class_homogeneous_correct,3,0.5798,0.963,7.620978355407715,
stoch_bs5_class_homogeneous_correct_cls6,2025-06-05 22:38:56,5,class_homogeneous_correct,4,0.5798,0.963,7.64443826675415,
stoch_bs5_class_homogeneous_correct_cls6,2025-06-05 22:39:13,5,class_homogeneous_correct,5,0.5301,0.979,6.06589674949646,
stoch_bs5_class_homogeneous_correct_cls6,2025-06-05 22:39:43,5,class_homogeneous_correct,6,0.5301,0.979,11.09999132156372,
stoch_bs5_class_homogeneous_correct_cls6,2025-06-05 22:40:00,5,class_homogeneous_correct,7,0.5301,0.979,8.228599309921265,
stoch_bs5_class_homogeneous_correct_cls6,2025-06-05 22:40:19,5,class_homogeneous_correct,8,0.5301,0.979,7.882232427597046,
stoch_bs5_class_homogeneous_correct_cls6,2025-06-05 22:40:37,5,class_homogeneous_correct,9,0.5301,0.979,7.660711050033569,
stoch_bs5_class_homogeneous_correct_cls6,2025-06-05 22:40:55,5,class_homogeneous_correct,10,0.5301,0.979,7.918706178665161,
stoch_bs5_class_homogeneous_correct_cls6,2025-06-05 22:41:23,5,class_homogeneous_correct,11,0.5157,0.979,9.583268165588379,
stoch_bs5_class_homogeneous_correct_cls6,2025-06-05 22:41:42,5,class_homogeneous_correct,12,0.5157,0.979,8.302112102508545,
stoch_bs5_class_homogeneous_correct_cls6,2025-06-05 22:42:00,5,class_homogeneous_correct,13,0.5157,0.979,7.771212816238403,
stoch_bs5_class_homogeneous_correct_cls6,2025-06-05 22:42:18,5,class_homogeneous_correct,14,0.5157,0.979,7.948340654373169,
stoch_bs5_class_homogeneous_correct_cls6,2025-06-05 22:42:37,5,class_homogeneous_correct,15,0.5157,0.979,7.862721920013428,
stoch_bs5_class_homogeneous_correct_cls6,2025-06-05 22:43:07,5,class_homogeneous_correct,16,0.5157,0.979,9.98621940612793,
stoch_bs5_class_homogeneous_correct_cls6,2025-06-05 22:43:25,5,class_homogeneous_correct,17,0.5157,0.979,7.670863628387451,
stoch_bs5_class_homogeneous_correct_cls6,2025-06-05 22:43:43,5,class_homogeneous_correct,18,0.4868,0.984,7.915905952453613,
stoch_bs5_class_homogeneous_correct_cls6,2025-06-05 22:44:01,5,class_homogeneous_correct,19,0.4161,0.993,7.740244388580322,
stoch_bs5_class_homogeneous_correct_cls6,2025-06-05 22:44:19,5,class_homogeneous_correct,20,0.4161,0.993,7.75423002243042,
stoch_bs5_class_homogeneous_correct_cls6,2025-06-05 22:44:47,5,class_homogeneous_correct,21,0.4161,0.993,7.71359920501709,
stoch_bs5_class_homogeneous_correct_cls6,2025-06-05 22:45:06,5,class_homogeneous_correct,22,0.4161,0.993,9.384174823760986,
stoch_bs5_class_homogeneous_correct_cls6,2025-06-05 22:45:25,5,class_homogeneous_correct,23,0.3799,0.996,7.853605508804321,
stoch_bs5_class_homogeneous_correct_cls6,2025-06-05 22:45:43,5,class_homogeneous_correct,24,0.3799,0.996,7.838571786880493,
stoch_bs5_class_homogeneous_correct_cls7,2025-06-05 22:46:20,5,class_homogeneous_correct,1,0.7208,0.738,7.872639894485474,
stoch_bs5_class_homogeneous_correct_cls7,2025-06-05 22:46:43,5,class_homogeneous_correct,2,0.7208,0.738,11.388278007507324,
stoch_bs5_class_homogeneous_correct_cls7,2025-06-05 22:47:00,5,class_homogeneous_correct,3,0.7208,0.738,7.529485464096069,
stoch_bs5_class_homogeneous_correct_cls7,2025-06-05 22:47:18,5,class_homogeneous_correct,4,0.7183,0.817,7.87638521194458,
stoch_bs5_class_homogeneous_correct_cls7,2025-06-05 22:47:35,5,class_homogeneous_correct,5,0.6541,0.932,6.164917469024658,
stoch_bs5_class_homogeneous_correct_cls7,2025-06-05 22:48:04,5,class_homogeneous_correct,6,0.6541,0.932,8.727391958236694,
stoch_bs5_class_homogeneous_correct_cls7,2025-06-05 22:48:23,5,class_homogeneous_correct,7,0.6063,0.966,8.564481735229492,
stoch_bs5_class_homogeneous_correct_cls7,2025-06-05 22:48:41,5,class_homogeneous_correct,8,0.6063,0.966,7.587279796600342,
stoch_bs5_class_homogeneous_correct_cls7,2025-06-05 22:49:00,5,class_homogeneous_correct,9,0.5973,0.973,8.4955575466156,
stoch_bs5_class_homogeneous_correct_cls7,2025-06-05 22:49:19,5,class_homogeneous_correct,10,0.5973,0.973,7.6212074756622314,
stoch_bs5_class_homogeneous_correct_cls7,2025-06-05 22:49:48,5,class_homogeneous_correct,11,0.5973,0.973,11.691673755645752,
